x__calculate_iou	23	TEST-GAP	or->and sign bug on one-axis separation	backend.services.scene_ocr_service.x__calculate_iou__mutmut_23
x__calculate_iou	24	EQUIVALENT	degenerate/falsy-equivalent guard tweak	backend.services.scene_ocr_service.x__calculate_iou__mutmut_24
x__calculate_iou	25	EQUIVALENT	degenerate/falsy-equivalent guard tweak	backend.services.scene_ocr_service.x__calculate_iou__mutmut_25
x__calculate_iou	42	EQUIVALENT	degenerate/falsy-equivalent guard tweak	backend.services.scene_ocr_service.x__calculate_iou__mutmut_42
x__calculate_iou	43	LOW-VALUE	union<=1 one-pixel tweak	backend.services.scene_ocr_service.x__calculate_iou__mutmut_43
x__calculate_overlap_ratio	23	TEST-GAP	or->and sign bug on one-axis separation	backend.services.scene_ocr_service.x__calculate_overlap_ratio__mutmut_23
x__calculate_overlap_ratio	24	EQUIVALENT	degenerate/falsy-equivalent guard tweak	backend.services.scene_ocr_service.x__calculate_overlap_ratio__mutmut_24
x__calculate_overlap_ratio	25	EQUIVALENT	degenerate/falsy-equivalent guard tweak	backend.services.scene_ocr_service.x__calculate_overlap_ratio__mutmut_25
x__calculate_overlap_ratio	35	EQUIVALENT	degenerate/falsy-equivalent guard tweak	backend.services.scene_ocr_service.x__calculate_overlap_ratio__mutmut_35
x__calculate_overlap_ratio	36	LOW-VALUE	ocr_area<=1 one-pixel tweak	backend.services.scene_ocr_service.x__calculate_overlap_ratio__mutmut_36
x__classify_text_type	4	TEST-GAP	4-digit house number unclassified	backend.services.scene_ocr_service.x__classify_text_type__mutmut_4
x__classify_text_type	5	LOW-VALUE	6-digit boundary: no realistic text between	backend.services.scene_ocr_service.x__classify_text_type__mutmut_5
x__classify_text_type	15	TEST-GAP	or->and kills substring sign match	backend.services.scene_ocr_service.x__classify_text_type__mutmut_15
x__image_to_base64	7	EQUIVALENT	case-only codec/format alias	backend.services.scene_ocr_service.x__image_to_base64__mutmut_7
x__image_to_base64	9	TEST-GAP	seek(1) truncates PNG bytes	backend.services.scene_ocr_service.x__image_to_base64__mutmut_9
x__image_to_base64	13	EQUIVALENT	case-only codec/format alias	backend.services.scene_ocr_service.x__image_to_base64__mutmut_13
xǁSceneOCRServiceǁ__init__	1	EQUIVALENT	enabled default flipped; call sites explicit	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_1
xǁSceneOCRServiceǁ__init__	2	EQUIVALENT	fallback indistinguishable in test env	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_2
xǁSceneOCRServiceǁ__init__	5	EQUIVALENT	fallback indistinguishable in test env	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_5
xǁSceneOCRServiceǁ__init__	7	EQUIVALENT	fallback indistinguishable in test env	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_7
xǁSceneOCRServiceǁ__init__	10	EQUIVALENT	fallback indistinguishable in test env	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_10
xǁSceneOCRServiceǁ__init__	11	TEST-GAP	settings attr-name typo: override never asserted	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_11
xǁSceneOCRServiceǁ__init__	12	TEST-GAP	settings attr-name typo: override never asserted	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_12
xǁSceneOCRServiceǁ__init__	13	LOW-VALUE	timeout attr only feeds untested client build	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_13
xǁSceneOCRServiceǁ__init__	16	EQUIVALENT	_client "" falsy-equal to None	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_16
xǁSceneOCRServiceǁ__init__	17	EQUIVALENT	log message text/None	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ__init____mutmut_17
xǁSceneOCRServiceǁ_deduplicate	4	TEST-GAP	det_id derivation unasserted	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ_deduplicate__mutmut_4
xǁSceneOCRServiceǁ_deduplicate	5	TEST-GAP	det_id derivation unasserted	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ_deduplicate__mutmut_5
xǁSceneOCRServiceǁ_deduplicate	6	TEST-GAP	det_id derivation unasserted	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ_deduplicate__mutmut_6
xǁSceneOCRServiceǁ_deduplicate	7	TEST-GAP	det_id derivation unasserted	backend.services.scene_ocr_service.xǁSceneOCRServiceǁ_deduplicate__mutmut_7
